RiskProfile,Gamma,MaxTurnover,CAGR,Volatility,Sharpe,Sortino,MaxDrawdown,TotalReturn,AverageTurnover,TotalTransactionCosts,Observations
conservative,0.0,,0.07756763846031478,0.14662616384133997,0.6871562310405451,1.1684370760573741,-0.2237252393907314,0.3371287037010009,1.1446549623608568,0.22435237262272795,196
conservative,0.1,,0.16986624522142169,0.16444607768326164,1.1302336803562936,1.95236607131416,-0.13213755966644736,0.8406624422857372,0.005102040816326533,0.0010000000000000005,196
conservative,0.5,,0.16986624522142213,0.16444607768326164,1.1302336803562965,1.9523660713141666,-0.13213755966644736,0.8406624422857403,0.00510204081632653,0.001,196
conservative,1.0,,0.16986624522142169,0.16444607768326164,1.1302336803562931,1.9523660713141588,-0.13213755966644736,0.8406624422857372,0.00510204081632653,0.001,196
conservative,2.0,,0.16986624522142213,0.16444607768326164,1.1302336803562965,1.9523660713141666,-0.13213755966644736,0.8406624422857403,0.00510204081632653,0.001,196
conservative,5.0,,0.1698662452214219,0.16444607768326164,1.1302336803562945,1.9523660713141615,-0.13213755966644747,0.8406624422857387,0.005102040816326533,0.0010000000000000005,196
moderate,0.0,,0.07787563337754189,0.14660506744464058,0.6891735729535302,1.175926519665061,-0.21915037769535817,0.3386155875801773,1.1405748934773283,0.22355267912155635,196
moderate,0.1,,0.16986624522142169,0.1644460776832616,1.1302336803562931,1.9523660713141595,-0.13213755966644725,0.8406624422857372,0.005102040816326533,0.0010000000000000005,196
moderate,0.5,,0.16986624522142213,0.16444607768326158,1.130233680356296,1.9523660713141655,-0.13213755966644725,0.84066244228574,0.005102040816326534,0.0010000000000000007,196
moderate,1.0,,0.16986624522142169,0.16444607768326158,1.1302336803562936,1.9523660713141615,-0.1321375596664469,0.8406624422857369,0.005102040816326533,0.0010000000000000005,196
moderate,2.0,,0.1698662452214219,0.16444607768326158,1.1302336803562938,1.9523660713141595,-0.13213755966644714,0.8406624422857389,0.005102040816326534,0.0010000000000000007,196
moderate,5.0,,0.16986624522142213,0.16444607768326164,1.1302336803562956,1.9523660713141657,-0.13213755966644736,0.84066244228574,0.005102040816326533,0.0010000000000000005,196
aggressive,0.0,,0.07711407607020959,0.14663070032418254,0.6842464219996737,1.169658666200621,-0.2195451213518237,0.33494130884434115,1.1420069306429323,0.22383335840601476,196
aggressive,0.1,,0.16986624522142146,0.16444607768326158,1.1302336803562933,1.95236607131416,-0.13213755966644747,0.8406624422857365,0.00510204081632653,0.001,196
aggressive,0.5,,0.16986624522142213,0.16444607768326164,1.1302336803562965,1.9523660713141666,-0.13213755966644736,0.8406624422857403,0.00510204081632653,0.001,196
aggressive,1.0,,0.16986624522142213,0.16444607768326164,1.1302336803562965,1.9523660713141666,-0.13213755966644736,0.8406624422857403,0.00510204081632653,0.001,196
aggressive,2.0,,0.16986624522142169,0.1644460776832616,1.1302336803562936,1.9523660713141597,-0.13213755966644736,0.8406624422857376,0.005102040816326535,0.0010000000000000009,196
aggressive,5.0,,0.16986624522142169,0.1644460776832616,1.1302336803562936,1.9523660713141597,-0.13213755966644736,0.8406624422857376,0.005102040816326534,0.0010000000000000007,196
conservative,0.0,0.25,0.19544675790934862,0.1457158675863483,1.4261540878394385,2.6363000237510597,-0.16839016059065093,0.7813228404074015,0.2546012264191405,0.041499999906319904,163
conservative,0.0,0.5,0.0810521703061744,0.15382590879117705,0.6899890192205583,1.2016923219562767,-0.20084005293542395,0.32707535895349316,0.5018549157761422,0.09183944958703402,183
conservative,0.0,0.75,0.1322530950623204,0.14538000663978148,1.0411513638406573,1.7716317901241714,-0.1383710247415485,0.5660154120226015,0.7397186449755536,0.13462879338555075,182
conservative,0.0,1.0,0.10685966988540474,0.1468447521845778,0.8720404147518683,1.531659472568574,-0.1799974776962464,0.4692537851460763,0.9177696655604519,0.17529400612204632,191
moderate,0.0,0.25,0.08092375223599424,0.1448454292196745,0.7274488340631033,1.2298029493704543,-0.17260760506338924,0.3122436979034007,0.2542613631474,0.044749999913942407,176
moderate,0.0,0.5,0.07400123581876361,0.15258418420140138,0.6531559867689587,1.1377296192227164,-0.20374373183684003,0.2904208187587738,0.5018199766840541,0.09032759580312974,180
moderate,0.0,0.75,0.13288526914255483,0.14604037374984438,1.0420476866732837,1.8345326041390788,-0.14946448209476437,0.5614251761529263,0.7423927119677826,0.13363068815420082,180
moderate,0.0,1.0,0.11251078862322617,0.14530053727972456,0.9137168955939651,1.6480026834327928,-0.18307975978929925,0.5042354044137674,0.9258329456381553,0.178685758508164,193
aggressive,0.0,0.25,0.12763272945380177,0.14494474873626031,1.0148577766534266,1.788633112344429,-0.17409490612236678,0.5467436280065558,0.2540983600461185,0.0464999998884397,183
aggressive,0.0,0.5,0.11054785801323996,0.1540962958953868,0.8623286754873595,1.5577852805676853,-0.2045216098008924,0.4724964050927587,0.5009341591852008,0.09317375360844736,186
aggressive,0.0,0.75,0.10897590026453896,0.13971869178825855,0.926124122724454,1.5899875777599244,-0.167741785074495,0.464819023121984,0.7411958634651873,0.13786243060452483,186
aggressive,0.0,1.0,0.12023031908230775,0.14557258879861898,0.9604594388473959,1.7055169246165325,-0.18792740744721204,0.54112341799417,0.9228052782405545,0.1771786134221865,192
