CostBps,Strategy,RiskProfile,CAGR,Volatility,Sharpe,Sortino,MaxDrawdown,TotalReturn,AverageTurnover,TotalTransactionCosts,Observations
0,BuyHold,,0.09335340736489428,0.12855465425172405,0.7925839208671874,1.3104768940773162,-0.07537186346637681,0.08871654199300738,0.020833333333333332,0.0,48
0,EqualWeight,,0.09335340736489428,0.12855465425172405,0.7925839208671874,1.3104768940773162,-0.07537186346637681,0.08871654199300738,0.020833333333333332,0.0,48
0,RiskOnly,,0.1515930940518737,0.12792513186565027,1.2104167999243036,2.2136614938272072,-0.06568084002040331,0.14387890072166942,0.2230459305331209,0.0,48
0,XGB_EqualWeight,,0.1252632896075363,0.1458858782934708,0.9522085758316924,1.6147925528197853,-0.08284168218597676,0.11895720459391756,0.8416666666666667,0.0,48
0,XGB_Risk,aggressive,0.12053216303620351,0.1573773257070065,0.9061685399632011,1.784876868232344,-0.07295759584598949,0.11447617170675128,1.0891400216639158,0.0,48
0,XGB_TurnoverAware,aggressive,0.03020122110715473,0.15383013526752728,0.37765780698600654,0.4833189866614694,-0.14624157906376478,0.028742599688817094,0.050169034680860314,0.0,48
5,BuyHold,,0.09335340736489361,0.12854627545252936,0.788551450096196,1.303724533755889,-0.0753718634663767,0.08871654199300671,0.020833333333333332,0.0005,48
5,EqualWeight,,0.09335340736489361,0.12854627545252936,0.788551450096196,1.303724533755889,-0.0753718634663767,0.08871654199300671,0.020833333333333332,0.0005,48
5,RiskOnly,,0.1457522934004054,0.1279376970239091,1.1663643692554007,2.1310388593964396,-0.0661774451020466,0.13835282772026858,0.2230459305331209,0.005353102332794902,48
5,XGB_EqualWeight,,0.102273758977389,0.14586019546338339,0.8069630239411661,1.3689547451242852,-0.08608688928920771,0.0971744469472382,0.8416666666666667,0.0202,48
5,XGB_Risk,aggressive,0.09082345187969731,0.15736231382440427,0.7318401090734376,1.4127425248412715,-0.07693951865785309,0.08631714679535629,1.0891400216639158,0.026139360519933978,48
