Date,PortfolioValue,GrossReturn,TransactionCost,NetReturn,Turnover,Gamma,RiskProfile
2025-01-01,1014945.5126197067,0.01594551261970656,0.001,0.014945512619706558,1.0,0.01,moderate
2025-01-02,988372.2911344385,-0.025781919280257082,0.0004000000000000005,-0.026181919280257083,0.4000000000000006,0.01,moderate
2025-01-03,955328.7119219558,-0.03343232050197986,0.0,-0.03343232050197986,0.0,0.01,moderate
2025-01-06,920768.2753880041,-0.0357764867973267,0.00040000000000000105,-0.0361764867973267,0.400000000000001,0.01,moderate
2025-01-07,894123.6765356859,-0.028537355432274536,0.0003999999963651307,-0.028937355428639667,0.39999999636513073,0.01,moderate
2025-01-08,883237.1121984749,-0.012175680245008147,3.939291004474211e-10,-0.012175680638937248,3.9392910044742107e-07,0.01,moderate
2025-01-09,877941.7975315569,-0.005995348918149124,2.0716516220738846e-12,-0.005995348920220776,2.0716516220738846e-09,0.01,moderate
2025-01-10,874143.0166371897,-0.004326916544899473,5.887898445216432e-12,-0.0043269165507873715,5.887898445216432e-09,0.01,moderate
2025-01-13,896427.0168235726,0.025492396315781596,3.4782882680867237e-11,0.025492396280998714,3.4782882680867235e-08,0.01,moderate
2025-01-14,895063.5590992778,-0.0011209913294288887,0.0004000000047301278,-0.0015209913341590166,0.40000000473012787,0.01,moderate
2025-01-15,884799.0777855641,-0.011467879805142633,2.220446049250313e-19,-0.011467879805142633,2.220446049250313e-16,0.01,moderate
2025-01-16,870833.3839272968,-0.015784028497430103,0.0,-0.015784028497430103,0.0,0.01,moderate
2025-01-17,863791.0226456324,-0.008086921576093808,0.0,-0.008086921576093808,0.0,0.01,moderate
2025-01-20,844018.4887694397,-0.022890413720245695,0.0,-0.022890413720245695,0.0,0.01,moderate
2025-01-21,832318.9211253533,-0.013861743314585562,0.0,-0.013861743314585562,0.0,0.01,moderate
2025-01-22,829981.641053978,-0.0028081544370217593,0.0,-0.0028081544370217593,0.0,0.01,moderate
2025-01-23,836229.1626215033,0.007527300916670532,0.0,0.007527300916670532,0.0,0.01,moderate
2025-01-24,858989.0790679225,0.027217319681926533,0.0,0.027217319681926533,0.0,0.01,moderate
2025-01-27,875185.4208519195,0.01885511955701613,0.0,0.01885511955701613,0.0,0.01,moderate
2025-01-28,877383.3539518807,0.002911391355013393,0.0004000000000000002,0.002511391355013393,0.40000000000000013,0.01,moderate
2025-01-29,885377.932788156,0.00911184238938012,0.0,0.00911184238938012,0.0,0.01,moderate
2025-01-30,895948.3985517044,0.01233893067818026,0.00040000000000000105,0.011938930678180259,0.400000000000001,0.01,moderate
2025-01-31,880718.6179350622,-0.016998487395704198,1.4573004145264753e-08,-0.016998501968708342,1.4573004145264753e-05,0.01,moderate
2025-02-01,869971.3425241511,-0.011702847983548703,0.0004999999999640933,-0.012202847983512797,0.49999999996409333,0.01,moderate
2025-02-03,865116.647696493,-0.005580292545753762,2.643204052220797e-10,-0.005580292810074167,2.643204052220797e-07,0.01,moderate
2025-02-04,828364.2611055698,-0.04248252078074788,5.852087822081804e-08,-0.0424825793016261,5.852087822081804e-05,0.01,moderate
2025-02-05,803461.8376233127,-0.029562165464527834,0.0004999999999999998,-0.030062165464527835,0.4999999999999998,0.01,moderate
2025-02-06,781298.1465711223,-0.0275851565717391,8.76979226755919e-08,-0.027585244269661777,8.769792267559189e-05,0.01,moderate
2025-02-07,759806.8490877899,-0.02700716558067029,0.0004999999970943201,-0.02750716557776461,0.49999999709432,0.01,moderate
2025-02-10,741674.8101654361,-0.023864005678042033,5.213834934125931e-09,-0.023864010891876966,5.213834934125931e-06,0.01,moderate
2025-02-11,731806.3422349864,-0.012805653360734248,0.0005000000000000017,-0.01330565336073425,0.5000000000000018,0.01,moderate
2025-02-12,719722.9362040106,-0.01651175287632245,7.579411019877511e-10,-0.016511753634263552,7.579411019877511e-07,0.01,moderate
2025-02-13,713056.6362453814,-0.008762314181649744,0.0004999999996778693,-0.009262314181327613,0.49999999967786934,0.01,moderate
2025-02-14,705512.0671477353,-0.010297445570336072,0.00028315730767974385,-0.010580602878015816,0.28315730767974384,0.01,moderate
2025-02-17,691050.2283898564,-0.02049835765348529,1.0862313880059977e-10,-0.020498357762108427,1.0862313880059976e-07,0.01,moderate
2025-02-18,677913.5296665211,-0.01900975640856939,3.206073620044174e-09,-0.019009759614643008,3.2060736200441746e-06,0.01,moderate
2025-02-19,667628.2573813159,-0.014671953114020586,0.0004999999966728956,-0.015171953110693482,0.4999999966728955,0.01,moderate
2025-02-20,644589.5841971928,-0.03450822392433739,1.1653481472216695e-08,-0.03450823557781886,1.1653481472216696e-05,0.01,moderate
